-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno
-38.739137,-72.585158,-38.738972,-72.586410,Montt entre Gral Mackena y Cruz
-38.738938,-72.586491,-38.738763,-72.587719,Montt entre Aldunate y Gral Mackena
-38.738778,-72.587794,-38.738578,-72.589016,Montt entre Bulnes y Aldunate
-38.738576,-72.589127,-38.738371,-72.590387,Montt entre Prat y Bulnes
-38.738374,-72.590480,-38.738186,-72.591730,Montt entre Vicuña Mackena y Prat
-38.738170,-72.591810,-38.737982,-72.593027,Montt entre Lagos y Vicuña Mackena
-38.737995,-72.593096,-38.737794,-72.594324,Montt entre Lynch y Lagos
-38.737801,-72.594404,-38.737608,-72.595653,Montt entre Lynch y Las Heras
-38.737589,-72.595731,-38.737501,-72.596407,Montt entre Caupolican y Las Heras
-38.736653,-72.594760,-38.736770,-72.594165,Portales entre Caupolican y Lynch
-38.736779,-72.594068,-38.736986,-72.592852,Portales entre Lynch y Lagos
-38.736977,-72.592781,-38.737172,-72.591536,Portales entre Lagos y Vicuña Mackena
-38.737172,-72.591453,-38.737344,-72.590220,Portales entre Vicuña Mackena y Prat
-38.737368,-72.590091,-38.737540,-72.588885,Portales entre Prat y Bulnes
-38.737567,-72.588766,-38.737755,-72.587528,Portales entre Bulnes y Aldunate
-38.737763,-72.587450,-38.737939,-72.586249,Portales entre Aldunate y Gral Mackena
-38.737954,-72.586173,-38.738130,-72.584870,Portales entre Gral Mackena y Cruz
-38.738148,-72.584805,-38.738328,-72.583534,Portales entre Cruz y Zenteno
-38.737336,-72.583257,-38.737127,-72.584549,Rodriguez entre Cruz y Zenteno
-38.737151,-72.584604,-38.736938,-72.585955,Rodriguez entre Gral Mackena y Cruz
-38.736942,-72.586009,-38.736725,-72.587221,Rodriguez entre Aldunate y Gral Mackena
-38.736739,-72.587294,-38.736530,-72.588501,Rodriguez entre Bulnes y Aldunate
-38.736524,-72.588609,-38.736332,-72.589832,Rodriguez entre Prat y Bulnes
-38.736310,-72.589974,-38.736105,-72.591224,Rodriguez entre Vicuña Mackena y Prat
-38.736112,-72.591295,-38.735919,-72.592507,Rodriguez entre Lagos y Vicuña Mackena
-38.735916,-72.592606,-38.735827,-72.593188,Rodriguez entre Caupolican y Lagos
-38.735006,-72.591622,-38.735078,-72.591043,Lautaro entre Caupolican y Vicuña Mackena
-38.735078,-72.590957,-38.735292,-72.589680,Lautaro entre Vicuña Mackena y Prat
-38.735300,-72.589573,-38.735505,-72.588343,Lautaro entre Prat y Bulnes
-38.735516,-72.588228,-38.735704,-72.587027,Lautaro entre Bulnes y Aldunate
-38.735744,-72.586950,-38.735886,-72.585775,Lautaro entre Aldunate y Gral Mackena
-38.735915,-72.585687,-38.736087,-72.584309,Lautaro entre Gral Mackena y Cruz
-38.736117,-72.584224,-38.736289,-72.582990,Lautaro entre Cruz y Zenteno
-38.735318,-72.582709,-38.735105,-72.583975,Miraflores entre Cruz y Zenteno
-38.735113,-72.584050,-38.734893,-72.585430,Miraflores entre Gral Mackena y Cruz
-38.734889,-72.585505,-38.734701,-72.586698,Miraflores entre Aldunate y Gral Mackena
-38.734680,-72.586779,-38.734489,-72.587945,Miraflores entre Bulnes y Aldunate
-38.734472,-72.588093,-38.734271,-72.589321,Miraflores entre Prat y Bulnes
-38.734271,-72.589437,-38.734158,-72.590091,Miraflores entre Caupolican y Prat
-38.733351,-72.588560,-38.733452,-72.587836,Balmaceda entre Caupolican y Bulnes
-38.733475,-72.587706,-38.733643,-72.586500,Balmaceda entre Bulnes y Aldunate
-38.733665,-72.586423,-38.733840,-72.585243,Balmaceda entre Aldunate y Gral Mackena
-38.733874,-72.585172,-38.734087,-72.583745,Balmaceda entre Gral Mackena y Cruz
-38.734102,-72.583659,-38.734278,-72.582453,Balmaceda entre Cruz y Zenteno
-38.733994,-72.582367,-38.733784,-72.583616,Balmaceda entre Cruz y Zenteno
-38.733793,-72.583669,-38.733547,-72.585122,Balmaceda entre Gral Mackena y Cruz
-38.733547,-72.585190,-38.733350,-72.586365,Balmaceda entre Aldunate y Gral Mackena
-38.733370,-72.586432,-38.733161,-72.587634,Balmaceda entre Bulnes y Aldunate
-38.733132,-72.587770,-38.733090,-72.588097,Balmaceda entre Caupolican y Bulnes
